,workflow_name,run_name,product_name,artefact_name,artefact_path,datetime
0,s2-preprocess,v1.0,S2A_MSIL2A_20190504T135121_N0211_R024_T22MCT_20190504T160455,B02,s3://sentinel-s2-l2a/tiles/22/M/CT/2019/5/4/0/R10m/B02.jp2,2019-05-04 13:51:21
1,s2-preprocess,v1.0,S2A_MSIL2A_20190504T135121_N0211_R024_T22MCT_20190504T160455,B03,s3://sentinel-s2-l2a/tiles/22/M/CT/2019/5/4/0/R10m/B03.jp2,2019-05-04 13:51:21
2,s2-preprocess,v1.0,S2A_MSIL2A_20190504T135121_N0211_R024_T22MCT_20190504T160455,B04,s3://sentinel-s2-l2a/tiles/22/M/CT/2019/5/4/0/R10m/B04.jp2,2019-05-04 13:51:21
3,s2-preprocess,v1.0,S2A_MSIL2A_20190504T135121_N0211_R024_T22MCT_20190504T160455,B05,s3://sentinel-s2-l2a/tiles/22/M/CT/2019/5/4/0/R20m/B05.jp2,2019-05-04 13:51:21
4,s2-preprocess,v1.0,S2A_MSIL2A_20190504T135121_N0211_R024_T22MCT_20190504T160455,B06,s3://sentinel-s2-l2a/tiles/22/M/CT/2019/5/4/0/R20m/B06.jp2,2019-05-04 13:51:21
5,s2-preprocess,v1.0,S2A_MSIL2A_20190504T135121_N0211_R024_T22MCT_20190504T160455,B07,s3://sentinel-s2-l2a/tiles/22/M/CT/2019/5/4/0/R20m/B07.jp2,2019-05-04 13:51:21
6,s2-preprocess,v1.0,S2A_MSIL2A_20190504T135121_N0211_R024_T22MCT_20190504T160455,B08,s3://sentinel-s2-l2a/tiles/22/M/CT/2019/5/4/0/R10m/B08.jp2,2019-05-04 13:51:21
7,s2-preprocess,v1.0,S2A_MSIL2A_20190504T135121_N0211_R024_T22MCT_20190504T160455,B11,s3://sentinel-s2-l2a/tiles/22/M/CT/2019/5/4/0/R20m/B11.jp2,2019-05-04 13:51:21
8,s2-preprocess,v1.0,S2A_MSIL2A_20190504T135121_N0211_R024_T22MCT_20190504T160455,B12,s3://sentinel-s2-l2a/tiles/22/M/CT/2019/5/4/0/R20m/B12.jp2,2019-05-04 13:51:21
9,s2-preprocess,v1.0,S2A_MSIL2A_20190504T135121_N0211_R024_T22MCT_20190504T160455,B8A,s3://sentinel-s2-l2a/tiles/22/M/CT/2019/5/4/0/R20m/B8A.jp2,2019-05-04 13:51:21
0,s2-generate_cloud_masks,v1.0-v2.0,S2A_MSIL2A_20190504T135121_N0211_R024_T22MCT_20190504T160455,cloud_mask,s3://mantlelabs-eu-s2/s2-generate_cloud_masks/v1.0-v2.0/S2A_MSIL2A_20190504T135121_N0211_R024_T22MCT_20190504T160455/cloud_mask/mask_0.0_certainty.tif,2019-05-04 13:51:21
10,s2-preprocess,v1.0,S2B_MSIL2A_20190509T135119_N0212_R024_T22MCT_20190509T160727,B02,s3://sentinel-s2-l2a/tiles/22/M/CT/2019/5/9/0/R10m/B02.jp2,2019-05-09 13:51:19
11,s2-preprocess,v1.0,S2B_MSIL2A_20190509T135119_N0212_R024_T22MCT_20190509T160727,B03,s3://sentinel-s2-l2a/tiles/22/M/CT/2019/5/9/0/R10m/B03.jp2,2019-05-09 13:51:19
12,s2-preprocess,v1.0,S2B_MSIL2A_20190509T135119_N0212_R024_T22MCT_20190509T160727,B04,s3://sentinel-s2-l2a/tiles/22/M/CT/2019/5/9/0/R10m/B04.jp2,2019-05-09 13:51:19
13,s2-preprocess,v1.0,S2B_MSIL2A_20190509T135119_N0212_R024_T22MCT_20190509T160727,B05,s3://sentinel-s2-l2a/tiles/22/M/CT/2019/5/9/0/R20m/B05.jp2,2019-05-09 13:51:19
14,s2-preprocess,v1.0,S2B_MSIL2A_20190509T135119_N0212_R024_T22MCT_20190509T160727,B06,s3://sentinel-s2-l2a/tiles/22/M/CT/2019/5/9/0/R20m/B06.jp2,2019-05-09 13:51:19
15,s2-preprocess,v1.0,S2B_MSIL2A_20190509T135119_N0212_R024_T22MCT_20190509T160727,B07,s3://sentinel-s2-l2a/tiles/22/M/CT/2019/5/9/0/R20m/B07.jp2,2019-05-09 13:51:19
16,s2-preprocess,v1.0,S2B_MSIL2A_20190509T135119_N0212_R024_T22MCT_20190509T160727,B08,s3://sentinel-s2-l2a/tiles/22/M/CT/2019/5/9/0/R10m/B08.jp2,2019-05-09 13:51:19
17,s2-preprocess,v1.0,S2B_MSIL2A_20190509T135119_N0212_R024_T22MCT_20190509T160727,B11,s3://sentinel-s2-l2a/tiles/22/M/CT/2019/5/9/0/R20m/B11.jp2,2019-05-09 13:51:19
18,s2-preprocess,v1.0,S2B_MSIL2A_20190509T135119_N0212_R024_T22MCT_20190509T160727,B12,s3://sentinel-s2-l2a/tiles/22/M/CT/2019/5/9/0/R20m/B12.jp2,2019-05-09 13:51:19
